comment,clean_comment,actual,predicted,dept_category,comment_length,positive_word_count,negative_word_count,primary_aspect,is_error,error_type
"he is a nice guy and his class is pretty fun. he is a really tough grader though. if you can, take a different teacher for english. i had Professor King for english 2 and did much better than I did in english 1 with zorn",he is a nice guy and his class is pretty fun he is a really tough grader though if you can take a different teacher for english i had professor king for english and did much better than i did in english with zorn,positive,neutral,English,44,0,0,professor,True,positive → neutral
"I bet the previous post is from the girl who had already failed his class once and probably failed again. He was without question the best math teacher I have ever had at any level. The few phone calls he had were because of his level of responsibility with his full time job, they were few and far between. Students took calls if needed also.",i bet the previous post is from the girl who had already failed his class once and probably failed again he was without question the best math teacher i have ever had at any level the few phone calls he had were because of his level of responsibility with his full time job they were few and far between students took calls if needed also,positive,negative,Mathematics,65,1,0,professor,True,positive → negative
"Very good teacher. Makes lecture more interesting and has a good sense of humor. Not too hard with only 3 short papers, a midterm, and final. Highly recommend him because he makes material more intresting.",very good teacher makes lecture more interesting and has a good sense of humor not too hard with only short papers a midterm and final highly recommend him because he makes material more intresting,neutral,positive,History,34,1,1,professor,True,neutral → positive
This class is not that hard. The only hard part is trying to stay awake listening to Kinney lecture. He is very boring but the material is not that dificult. He reads directly off the slides and you can print off the notes. I used the interactive website that goes alog with the book to study for all of the tests. The final is not comprehensive.,this class is not that hard the only hard part is trying to stay awake listening to kinney lecture he is very boring but the material is not that dificult he reads directly off the slides and you can print off the notes i used the interactive website that goes alog with the book to study for all of the tests the final is not comprehensive,negative,neutral,Psychology,66,0,2,professor,True,negative → neutral
"Yes, he erases problems fast, but he really has a heart. If you\'re failing, he will try to accommodate you. If you\'re in there the first week and can\'t keep up with him, don\'t drop the class because he gets better.",yes he erases problems fast but he really has a heart if you re failing he will try to accommodate you if you re in there the first week and can t keep up with him don t drop the class because he gets better,neutral,negative,Mathematics,45,0,0,professor,True,neutral → negative
"I like the guy as a person but not as a teacher. He makes you think and if you simply don\'t get it, he makes you feel dumb. I never made anything higher than a 60 on his tests and I love math and have always been good at it. Do not take if you\'re not a math genious.",i like the guy as a person but not as a teacher he makes you think and if you simply don t get it he makes you feel dumb i never made anything higher than a on his tests and i love math and have always been good at it do not take if you re not a math genious,negative,neutral,Mathematics,60,2,0,professor,True,negative → neutral
"I really enjoyed her class. I loved making the journals and the autobiographical writing combined with art. So if you like that type of thing the class is great! But at parts of the class things did get really repetitive and she had a problem with changing assignments last minute after I\'d already completed things, which is uncool.",i really enjoyed her class i loved making the journals and the autobiographical writing combined with art so if you like that type of thing the class is great but at parts of the class things did get really repetitive and she had a problem with changing assignments last minute after i d already completed things which is uncool,neutral,positive,Psychology,59,1,0,professor,True,neutral → positive
Had a B average in there until the final and made a C. He is not very clear and will interrupt himself while working out a problem to go on a tangent. Not recommended.,had a b average in there until the final and made a c he is not very clear and will interrupt himself while working out a problem to go on a tangent not recommended,negative,neutral,Mathematics,34,1,0,professor,True,negative → neutral
"Fall 2013 night class.He speak Cantonese, Mandarin, English and post solutions online.His notes are organize.He don\'t check homework, but give you quiz(total value 30% final grade) from homework problems. you could use a formula paper in exam.Final exam is open book, notes, so print all solutions from his final review and at least read them once.",fall night class he speak cantonese mandarin english and post solutions online his notes are organize he don t check homework but give you quiz total value final grade from homework problems you could use a formula paper in exam final exam is open book notes so print all solutions from his final review and at least read them once,positive,negative,Mathematics,60,0,0,lectures,True,positive → negative
"I had Ms. Hampton this past spring, and I must say, it was quite a challenge. I can see why people may say that she really doesn\'t interact as much with the students during class...but on the other hand I have to say that she is extremely smart. She definitely knows her info. I received an A but it did not come easy. Overall, she was a fairly desce",i had ms hampton this past spring and i must say it was quite a challenge i can see why people may say that she really doesn t interact as much with the students during class but on the other hand i have to say that she is extremely smart she definitely knows her info i received an a but it did not come easy overall she was a fairly desce,positive,neutral,Biology,71,0,0,professor,True,positive → neutral
"This class was great. I loved the books we read, and the quizzes (which are taken after every assigned reading) were easy as long as you read. If you can\'t read then you shouldn\'t be in college. She\'s very passionate about her job, and the reason shes late is because she has back problems bc she was hit by a bus a long time ago-give her a break.",this class was great i loved the books we read and the quizzes which are taken after every assigned reading were easy as long as you read if you can t read then you shouldn t be in college she s very passionate about her job and the reason shes late is because she has back problems bc she was hit by a bus a long time ago give her a break,positive,neutral,English,72,1,0,professor,True,positive → neutral
She is a great person. Very interested in what she does. Tries to make class exciting. Her exams are fair. Just figure out what she wants and your fine. Be prepared to have a sore hand. Lots and lots of notes goes through really really fast.,she is a great person very interested in what she does tries to make class exciting her exams are fair just figure out what she wants and your fine be prepared to have a sore hand lots and lots of notes goes through really really fast,positive,neutral,Psychology,46,1,0,professor,True,positive → neutral
"takes attendance every day, need to be there. Very stubborn on how she wants things written her way, and if you dont write it her way its wrong. nice, funny lady. not an easy class however, takes 3rd grade math and makes it very hard somehow. if you put a lot of time in youll pass, if not its very stressful, dont go out of your war to take this cla",takes attendance every day need to be there very stubborn on how she wants things written her way and if you dont write it her way its wrong nice funny lady not an easy class however takes rd grade math and makes it very hard somehow if you put a lot of time in youll pass if not its very stressful dont go out of your war to take this cla,positive,negative,Mathematics,71,0,1,grading,True,positive → negative
"Masten, while I\'m sure he\'s a great, harilous person outside of class, he\'s definately not that way in class. He is very unclear of this subject and reads straight from his Pearson PowerPoints. I will not take his class again because I learned absolutely nothing.",masten while i m sure he s a great harilous person outside of class he s definately not that way in class he is very unclear of this subject and reads straight from his pearson powerpoints i will not take his class again because i learned absolutely nothing,negative,positive,Psychology,48,1,0,professor,True,negative → positive
first day of class i was intimidated cuz she lets you know right away its going to be A LOT expected from you ie READ/STUDY. GRADES HARD ON ESSAYS. i got 2 B\'s and i usually get A\'s. EXPLAIN EXPLAIN EXPLAIN YOUR THOUGHTS ON PASSAGES ON PAPERS! overall i learned A LOT take her if u r an english maj,first day of class i was intimidated cuz she lets you know right away its going to be a lot expected from you ie read study grades hard on essays i got b s and i usually get a s explain explain explain your thoughts on passages on papers overall i learned a lot take her if u r an english maj,positive,neutral,English,62,0,1,grading,True,positive → neutral
"Lectures about himself. unbelievable stories. Guy is stuck in the 1960\'s. Literally didn\'t show up for our final. Easy A if you show up, but if your paying out of pocket not from financial aid or mommy and daddy. I was hoping to learn more. Very outdated teaching style. If your taking for credits, go for it. If you want to learn. forget about it",lectures about himself unbelievable stories guy is stuck in the s literally didn t show up for our final easy a if you show up but if your paying out of pocket not from financial aid or mommy and daddy i was hoping to learn more very outdated teaching style if your taking for credits go for it if you want to learn forget about it,negative,neutral,Psychology,66,0,0,grading,True,negative → neutral
"""The Todd"" is the man. I am sure that if I had had him as a math teacher earlier in life, I would be a rocket scientist by now.",the todd is the man i am sure that if i had had him as a math teacher earlier in life i would be a rocket scientist by now,positive,negative,Mathematics,29,0,0,professor,True,positive → negative
"Good professor, I personally liked his method of teaching. People complaint about having to read the book but come on, this IS COLLEGE, you are expected to read the book.",good professor i personally liked his method of teaching people complaint about having to read the book but come on this is college you are expected to read the book,positive,neutral,Psychology,30,1,0,professor,True,positive → neutral
Sometimes she\'s interesting and sometimes she\'s boring but at least she makes jokes in class sometimes.,sometimes she s interesting and sometimes she s boring but at least she makes jokes in class sometimes,neutral,negative,History,18,0,1,professor,True,neutral → negative
"Mr. Ream wants all of his students to succeed and pass his class. He\'s very helpful and eager to make sure that students understand. His extra credit really helps out if you\'re struggling. He\'s old school and might seem like a mess with all his papers flying around, but he\'s on top of it. Highly recommend him for your 1330 Math class! :)",mr ream wants all of his students to succeed and pass his class he s very helpful and eager to make sure that students understand his extra credit really helps out if you re struggling he s old school and might seem like a mess with all his papers flying around but he s on top of it highly recommend him for your math class,neutral,positive,Mathematics,65,1,0,grading,True,neutral → positive
The tests on his class is in class had writing a paper about one question that he randomly choose from two questions he gave us earlier. I just can\'t understand why would anybody test student like that. Why don\'t him just let us write the paper and turn in like a regular professor.,the tests on his class is in class had writing a paper about one question that he randomly choose from two questions he gave us earlier i just can t understand why would anybody test student like that why don t him just let us write the paper and turn in like a regular professor,neutral,negative,History,55,0,0,lectures,True,neutral → negative
I would take every class Dr. Lombrana had to offer!,i would take every class dr lombrana had to offer,positive,negative,Biology,10,0,0,professor,True,positive → negative
"This class is doable, but given another option I would have definitely taken it. It\'s a lot of unnecessary reading and responding. The tests quizzes are difficult and the essays are impossible. She does offer a lot of help though so there\'s that. It\'s entirely too much work for a gen ed course.",this class is doable but given another option i would have definitely taken it it s a lot of unnecessary reading and responding the tests quizzes are difficult and the essays are impossible she does offer a lot of help though so there s that it s entirely too much work for a gen ed course,neutral,negative,History,56,0,1,professor,True,neutral → negative
"Tim is very passionate about whatever class he is teaching, but if you are not diggin\' the class then it gets annoying and old fast. Pretty easy grader, quizzes every week, three paper and a final. Way too much reading at way too fast of a pace.",tim is very passionate about whatever class he is teaching but if you are not diggin the class then it gets annoying and old fast pretty easy grader quizzes every week three paper and a final way too much reading at way too fast of a pace,negative,neutral,English,47,0,0,professor,True,negative → neutral
"Mr. Rose brings the world of the unseen to life in his Microbiology class. His attention to detail in lecture and lab is impeccable. By the end of the course I feel that I knew a lot about infectious disease, working with bacterial cultures in lab, and safety. Mr. Rose is a kind and caring professor, while maintaining rigor and professionalism.",mr rose brings the world of the unseen to life in his microbiology class his attention to detail in lecture and lab is impeccable by the end of the course i feel that i knew a lot about infectious disease working with bacterial cultures in lab and safety mr rose is a kind and caring professor while maintaining rigor and professionalism,positive,neutral,Biology,61,0,0,professor,True,positive → neutral
"I CANNOT RECOMMEND RACHEL EDELSON MORE HIGHLY! IF YOU TRULY CARE ABOUT LEARNING, TAKE HER CLASS! I had the privilege of taking ENG1A at SCC while in high school, and it saved me from absolute depression about school. In marked contrast to the stultifying English classes at CKM, Edelson really engaged and supported our critical thinking and writing.",i cannot recommend rachel edelson more highly if you truly care about learning take her class i had the privilege of taking eng a at scc while in high school and it saved me from absolute depression about school in marked contrast to the stultifying english classes at ckm edelson really engaged and supported our critical thinking and writing,positive,negative,English,59,0,0,lectures,True,positive → negative
Half of class was spent with him humble bragging about how marvelous himself and his achievements are and the other half was spent with him explaining his unclear prompts in the most obscure way possible. He\'s a tough grader with high expectations so to office hours and get feedback on drafts before turning in your final paper and you should do ok.,half of class was spent with him humble bragging about how marvelous himself and his achievements are and the other half was spent with him explaining his unclear prompts in the most obscure way possible he s a tough grader with high expectations so to office hours and get feedback on drafts before turning in your final paper and you should do ok,neutral,negative,English,63,0,0,professor,True,neutral → negative
"The class was too easy and very poor by college standards. I transferred to a better school after being disappointed by how juvenile the course is. The professor, while friendly, comes off too self-centered at times and not very knowledgeable.",the class was too easy and very poor by college standards i transferred to a better school after being disappointed by how juvenile the course is the professor while friendly comes off too self centered at times and not very knowledgeable,negative,positive,Psychology,41,0,1,professor,True,negative → positive
Extremely nice lady. Five exams and one paper. Good class but way too much material. She needs to lessen the amount but get more in depth. Lectures are interesting but don\'t really fit tests. Tests seem more like a memory exercise. She takes attendance so don\'t miss more than three classes. I got an A.,extremely nice lady five exams and one paper good class but way too much material she needs to lessen the amount but get more in depth lectures are interesting but don t really fit tests tests seem more like a memory exercise she takes attendance so don t miss more than three classes i got an a,positive,neutral,English,57,1,0,attendance,True,positive → neutral
"This post is for those students who are serious about math. If you can take a 300 level course with him do so! He teaches and he gives you every chance in the world to do well. His exams are out of 105 points but 80 is considered a perfect score. He also gives extra credit projects if you need them. Good class, good teacher. Take him!",this post is for those students who are serious about math if you can take a level course with him do so he teaches and he gives you every chance in the world to do well his exams are out of points but is considered a perfect score he also gives extra credit projects if you need them good class good teacher take him,neutral,positive,Mathematics,64,1,0,lectures,True,neutral → positive
"Ryan Stark... so many words for Ryan Stark. Take the class, ignore your first impression of him. I think he\'s a swell guy, although I\'ve seen him like four times between 2 and 4 am wearing flannel. Super funny, surprisingly a difficult grader, but there\'s are revisions.",ryan stark so many words for ryan stark take the class ignore your first impression of him i think he s a swell guy although i ve seen him like four times between and am wearing flannel super funny surprisingly a difficult grader but there s are revisions,positive,neutral,English,48,0,1,professor,True,positive → neutral
"I took Psych 101 with Joe in 1973 as an elective. It totally changed my direction in life. I became a therapist, I took three more classes with him before graduation and he was by far the most interesting an informative teacher in the department.",i took psych with joe in as an elective it totally changed my direction in life i became a therapist i took three more classes with him before graduation and he was by far the most interesting an informative teacher in the department,positive,neutral,Psychology,43,0,0,professor,True,positive → neutral
"Mr. Tyson is an inspiration. If you plan to use any college degree for any area, you should take his biology course. While his daily tests are annoying & if you don\'t keep up, you\'re flunking by the 2nd week. But if you read the daily requirement you will have no problem with the simple tests. It prepares anyone how to study for a college cours",mr tyson is an inspiration if you plan to use any college degree for any area you should take his biology course while his daily tests are annoying if you don t keep up you re flunking by the nd week but if you read the daily requirement you will have no problem with the simple tests it prepares anyone how to study for a college cours,positive,neutral,Biology,67,0,0,exams,True,positive → neutral
"Take this class! She gives you all the homework and tests in advance. You do need to use the book, but only because the answers are right there. You don\'t need to read it, she gives you the page numbers. The tests aren\'t hard (open book/internet). There is something due every week, but it\'s not a lot. And you can work ahead. Recommend this class.",take this class she gives you all the homework and tests in advance you do need to use the book but only because the answers are right there you don t need to read it she gives you the page numbers the tests aren t hard open book internet there is something due every week but it s not a lot and you can work ahead recommend this class,positive,neutral,History,69,0,1,professor,True,positive → neutral
He was very mean to me... I worked very hard but he gave me an C.,he was very mean to me i worked very hard but he gave me an c,neutral,negative,English,16,0,1,professor,True,neutral → negative
"Do not take this class from Jerry unless you really REALLY love math. Jerry makes the tests much harder and longer than they need to be! His Final took many students 4-5 hours to complete, is this legal?? His lectures and HW assignments are pretty good. Don\'t miss his lectures, or you will be bitten. I wish I had not taken this class from him.",do not take this class from jerry unless you really really love math jerry makes the tests much harder and longer than they need to be his final took many students hours to complete is this legal his lectures and hw assignments are pretty good don t miss his lectures or you will be bitten i wish i had not taken this class from him,neutral,positive,Mathematics,65,2,0,professor,True,neutral → positive
"He is a nice guy, but did not explain subject matter well. I had to go buy several books to self-teach, practically moved into the math lab! He does go on tangents and only explains how to do the simplistic part of a problem. Not good when the math lab tutors know what teacher you have by how confused you are. Nice guy, but not thorough enough",he is a nice guy but did not explain subject matter well i had to go buy several books to self teach practically moved into the math lab he does go on tangents and only explains how to do the simplistic part of a problem not good when the math lab tutors know what teacher you have by how confused you are nice guy but not thorough enough,negative,neutral,Mathematics,68,1,0,professor,True,negative → neutral
"hard work, a little hard to get used to her teaching stlye at first, once you get it though, it gets easier. Not an Easy class!",hard work a little hard to get used to her teaching stlye at first once you get it though it gets easier not an easy class,positive,neutral,History,26,0,1,workload,True,positive → neutral
"Ok if you are a lazy arse, dont take this class. But it\'s easy if you TRY and GO TO CLASS. do not need to open your book, just REVEIW ALL NOTES for the test and FOLLOW the study guide. If that\'s asking for too much, don\'t take the class... I learned a lot.",ok if you are a lazy arse dont take this class but it s easy if you try and go to class do not need to open your book just reveiw all notes for the test and follow the study guide if that s asking for too much don t take the class i learned a lot,positive,neutral,Biology,57,0,0,exams,True,positive → neutral
"this class was hard. a lot of information. but he is willing to work with you, and he is always around in case you have questions. if you have to take this class, i strongly recommend taking it with rogers",this class was hard a lot of information but he is willing to work with you and he is always around in case you have questions if you have to take this class i strongly recommend taking it with rogers,positive,neutral,Biology,40,0,1,professor,True,positive → neutral
She\'s good but I sometimes get bored. The midterm and final might be a bit hard.,she s good but i sometimes get bored the midterm and final might be a bit hard,positive,neutral,English,17,1,1,professor,True,positive → neutral
"I failed MAT 095 the first time I took it with Blythe. The second time I had prof. O\'Brien, and I made it out ok. She\'s a really nice lady, and helped me out a whole lot even though I\'m HORRIBLE at math.",i failed mat the first time i took it with blythe the second time i had prof o brien and i made it out ok she s a really nice lady and helped me out a whole lot even though i m horrible at math,neutral,negative,Mathematics,45,0,1,professor,True,neutral → negative
"Looking back at it, I loved this class! But he does get off topic and is a little confusing and eccentric. All his tests are take home and you can always go to the tutoring center for them but he has links online that will help you pass easily. He is an easy grader and really loves his students. If you get on his good side then you will love it!!",looking back at it i loved this class but he does get off topic and is a little confusing and eccentric all his tests are take home and you can always go to the tutoring center for them but he has links online that will help you pass easily he is an easy grader and really loves his students if you get on his good side then you will love it,neutral,positive,Mathematics,71,2,1,professor,True,neutral → positive
"this class has all the potential to be interesting, but it isn\'t. her lectures come right from the reading assignments, and aren\'t very engaging. sometimes it feels like she doesn\'t know her stuff.",this class has all the potential to be interesting but it isn t her lectures come right from the reading assignments and aren t very engaging sometimes it feels like she doesn t know her stuff,negative,neutral,History,36,0,0,professor,True,negative → neutral
teacher was good for most part. felt like she treated class like children rather than adults we are.,teacher was good for most part felt like she treated class like children rather than adults we are,neutral,negative,Biology,18,1,0,professor,True,neutral → negative
"contrary to most, this guy is a great adviosor, but puts thing to the point which is great all of you who are dissin him as an advisor are prolly just failing and he told u that u aint gonna be a doctor",contrary to most this guy is a great adviosor but puts thing to the point which is great all of you who are dissin him as an advisor are prolly just failing and he told u that u aint gonna be a doctor,positive,neutral,Biology,43,1,0,professor,True,positive → neutral
"Very unorganized, but very fair. He is very helpful one on one, but in a group, he tends to be unclear.",very unorganized but very fair he is very helpful one on one but in a group he tends to be unclear,negative,positive,Psychology,21,1,0,professor,True,negative → positive
"I don\'t know how she is getting all these great ratings..I got an A, but she is the most obnoxious professor I\'ve ever had. Sweet as can be as a person, but all over the place. She is so hyper it really gets annoying after the first few classes.PSY 250, Lit review, was the biggest waste of time of my life.you have to do a million study write ups",i don t know how she is getting all these great ratings i got an a but she is the most obnoxious professor i ve ever had sweet as can be as a person but all over the place she is so hyper it really gets annoying after the first few classes psy lit review was the biggest waste of time of my life you have to do a million study write ups,neutral,negative,Psychology,73,1,1,professor,True,neutral → negative
"I\'m not a fan. The free-willed nature of the professor is liberating, and for that I commend. However, that strength is the seed of his destruction. He offers hardly any challenge for the course, and is evident he isn\'t taking it seriously. You\'re better off with other professors.",i m not a fan the free willed nature of the professor is liberating and for that i commend however that strength is the seed of his destruction he offers hardly any challenge for the course and is evident he isn t taking it seriously you re better off with other professors,neutral,positive,English,52,0,0,professor,True,neutral → positive
"The class itself was hard at first, then it got easier. Did not have a good experience with the teacher. She was very rude and not encouraging either. When time came for students to drop the class, she said, if anybody wants to drop let me know so I can get forms ready. She should be encouraging us to continue and help. Not drop it.",the class itself was hard at first then it got easier did not have a good experience with the teacher she was very rude and not encouraging either when time came for students to drop the class she said if anybody wants to drop let me know so i can get forms ready she should be encouraging us to continue and help not drop it,positive,negative,Mathematics,65,1,1,professor,True,positive → negative
"A weird class in my opinion. Was confused a lot of the time and not sure how all topics related to each other, but her class is set up pretty clearly. She gives reviews the class before the test and is pretty much exactly what\'s on it. The prompts are hard to grasp for papers, but I never got lower than an 87% on one. I\'d recommend still.",a weird class in my opinion was confused a lot of the time and not sure how all topics related to each other but her class is set up pretty clearly she gives reviews the class before the test and is pretty much exactly what s on it the prompts are hard to grasp for papers but i never got lower than an on one i d recommend still,positive,negative,History,69,0,1,professor,True,positive → negative
"I think one of the pitfalls reviewers of Lair fell into was not going to see her or staying a few minutes after class to ask questions. She looked scary & set tough rules, but when talked to, she relaxed many of the rules & was very helpful. Her class is par for the course, its math & requires work out side of class to pass, o look for it.",i think one of the pitfalls reviewers of lair fell into was not going to see her or staying a few minutes after class to ask questions she looked scary set tough rules but when talked to she relaxed many of the rules was very helpful her class is par for the course its math requires work out side of class to pass o look for it,neutral,positive,Mathematics,67,1,0,professor,True,neutral → positive
She is a very nice teacher. most classmates likes her. she give the people good mark!!,she is a very nice teacher most classmates likes her she give the people good mark,neutral,positive,English,16,1,0,grading,True,neutral → positive
"Though he is hard to understand sometimes, he really knows his stuff! If you do the homework and take notes in class, you will be able to overcome the confusion most students experience.",though he is hard to understand sometimes he really knows his stuff if you do the homework and take notes in class you will be able to overcome the confusion most students experience,neutral,positive,Mathematics,33,0,1,professor,True,neutral → positive
"The only way the professor grades you is essays, A LOT OF ESSAYS. Write 3 essays in two hours in class...",the only way the professor grades you is essays a lot of essays write essays in two hours in class,neutral,negative,English,20,0,0,grading,True,neutral → negative
Don\'t be lazy with your reading up and your almost garuanteed an A. Do what she says and memorize her lecture topics and the rest is downhill you pussies.,don t be lazy with your reading up and your almost garuanteed an a do what she says and memorize her lecture topics and the rest is downhill you pussies,positive,neutral,Biology,30,0,0,professor,True,positive → neutral
Dr. Chambers is a good professor but you have to work really hard in his class. You must go to class to understand the topics he wants you to know... Then take his information and spend a lot of time researching and learning it yourself. The final is extremely difficult but if you kept up during the class and studied really hard - you can do well,dr chambers is a good professor but you have to work really hard in his class you must go to class to understand the topics he wants you to know then take his information and spend a lot of time researching and learning it yourself the final is extremely difficult but if you kept up during the class and studied really hard you can do well,neutral,negative,Biology,66,1,2,professor,True,neutral → negative
"She\'s sweet and cares deeply for her students. Class focused on art therapy so be prepared to do creative things in an art journal. Doesn\'t grade based on artistic ability (just make sure you meet the criteria explained in syllabus). Takes a while to get papers back, but is a generous grader SINCE prompts are vague",she s sweet and cares deeply for her students class focused on art therapy so be prepared to do creative things in an art journal doesn t grade based on artistic ability just make sure you meet the criteria explained in syllabus takes a while to get papers back but is a generous grader since prompts are vague,positive,neutral,Psychology,58,0,0,grading,True,positive → neutral
"Dr. Chapman is a wonderful storyteller, however he impresses his opinions onto the subject matter with a slant towards creationism, specifically Christianity.",dr chapman is a wonderful storyteller however he impresses his opinions onto the subject matter with a slant towards creationism specifically christianity,neutral,positive,History,22,1,0,professor,True,neutral → positive
She definitely grows on you if you stick with the class.. she\'s challenging but very worth it.,she definitely grows on you if you stick with the class she s challenging but very worth it,positive,negative,English,18,0,0,professor,True,positive → negative
Read your book and you will make an A.You must read and pay attention to the lectures!!,read your book and you will make an a you must read and pay attention to the lectures,positive,neutral,Psychology,18,0,0,lectures,True,positive → neutral
"she seemed really laid back in class but if you visited her in her office she made you feel stupid and inept. encouraged passion in her class, had some spunk.",she seemed really laid back in class but if you visited her in her office she made you feel stupid and inept encouraged passion in her class had some spunk,positive,neutral,English,30,0,0,professor,True,positive → neutral
"she is a easy teacher, but don\'t ask her to help you outside of class because she won\'t go out of her way!",she is a easy teacher but don t ask her to help you outside of class because she won t go out of her way,neutral,positive,Mathematics,25,0,0,professor,True,neutral → positive
"He has an extremely dry wit, so if you do, then you\'ll find him really interesting and funny. If you don\'t, you\'ll probably be bored to tears. But his courses are pretty easy, usually take home exams or essays. If you go to class and do your work nominally well, you should get at least a B.",he has an extremely dry wit so if you do then you ll find him really interesting and funny if you don t you ll probably be bored to tears but his courses are pretty easy usually take home exams or essays if you go to class and do your work nominally well you should get at least a b,positive,neutral,History,60,0,0,lectures,True,positive → neutral
"Chris not only knows the material forward and backward, he single-handed sets up labs for the entire biology department. ask any question a/b any model or experiment and Chris can give you a definite answer...or research the answer for you!",chris not only knows the material forward and backward he single handed sets up labs for the entire biology department ask any question a b any model or experiment and chris can give you a definite answer or research the answer for you,positive,neutral,Biology,43,0,0,professor,True,positive → neutral
"He\'s such a sweet guy and seems genuinely crushed that no one comes to his lectures. Attending recitation and getting good grades on exams is all you really need; it\'s a pretty easy course.If you have a heart, go to his lectures on occasion. He\'s a sweet old man; no one wants to know they\'re boring.",he s such a sweet guy and seems genuinely crushed that no one comes to his lectures attending recitation and getting good grades on exams is all you really need it s a pretty easy course if you have a heart go to his lectures on occasion he s a sweet old man no one wants to know they re boring,negative,neutral,Mathematics,61,1,1,attendance,True,negative → neutral
"Most lectures are half lecture half movie, not very specific on what you need to be paying attention to. Beware, she will not reply back to your emails. Feedback for our research paper rough draft was given back to us 3 days before the final draft was due. She makes you take all the tests twice for a ""chance"" to do better but, its not worth it. :(",most lectures are half lecture half movie not very specific on what you need to be paying attention to beware she will not reply back to your emails feedback for our research paper rough draft was given back to us days before the final draft was due she makes you take all the tests twice for a chance to do better but its not worth it,negative,neutral,Psychology,66,0,0,professor,True,negative → neutral
