professor_name,school_name,department_name,state_name,star_rating,diff_index,would_take_agains,post_date,student_star,student_difficult,grades,tag_professor,gives_good_feedback,caring,respected,participation_matters,clear_grading_criteria,skip_class,amazing_lectures,inspirational,tough_grader,get_ready_to_read,lots_of_homework,accessible_outside_class,lecture_heavy,extra_credit,graded_by_few_things,group_projects,test_heavy,so_many_papers,beware_of_pop_quizzes,IsCourseOnline,comments,sentiment,dept_category,word_count,grade_numeric,clean_comments,entities,person_mentions,has_person_mention,aspects,aspect_opinion_pairs,primary_aspect,num_aspects,comment_length,avg_word_length,exclamation_count,question_count,uppercase_ratio,positive_word_count,negative_word_count,sentiment_word_ratio,kmeans_cluster,dbscan_cluster,agg_cluster,cluster_name
Daniel  Kern,University of Nevada Las Vegas,Mathematics department, NV,4.1,3.2,0,08/20/2009,4.5,3.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Great teacher. Taught very well. Was always willing to help if you had questions. His tests are appropriate for the course and doesn\'t pick ridiculous problems. You are fine as long as you do the homework. One of my top math teachers.,positive,Mathematics,42,3.7,great teacher taught very well was always willing to help if you had questions his tests are appropriate for the course and doesn t pick ridiculous problems you are fine as long as you do the homework one of my top math teachers,"[('One', 'CARDINAL')]",[],0,"['professor', 'workload', 'exams']","[('professor', 'great'), ('professor', 'top')]",professor,3,43,4.325581395348837,0,0,0.02553191489361702,1,0,0.022727272727272728,4,0,0,Workload & Assignments
Carol  McClure,California State University Fullerton,Biology department, CA,2.5,4.1,0,04/27/2004,2.5,5.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"this class is EXTREMELY HARD and BORING!! She can be a nice woman and if you REALLY REALLY pay attention, which is hard to do with her, you may pass. The tests consist mostly of essays... basically dont take her if you want a decent grade!",negative,Biology,46,3.7,this class is extremely hard and boring she can be a nice woman and if you really really pay attention which is hard to do with her you may pass the tests consist mostly of essays basically dont take her if you want a decent grade,"[('EXTREMELY', 'ORG')]",[],0,"['grading', 'professor', 'exams', 'lectures']","[('grading', 'decent')]",grading,4,46,4.021739130434782,3,0,0.13807531380753138,0,2,-0.0425531914893617,0,0,1,Exam & Test Difficulty
Christopher  Bracken,University of Alberta,English department, AB,3.0,4.5,0,12/12/2017,3.0,4.0,,Tough Grader (8)  Get ready to read (8)  Skip class? You won\'t pass. (5)  Respected (3)  Gives good feedback (3)  Amazing lectures (2)  LECTURE HEAVY (2)  Inspirational (2)  Participation matters (1)  BEWARE OF POP QUIZZES (1)  Clear grading criteria (1)  Hilarious (1),1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,"Interesting class, but super tough and dense material. There was a ton of reading and most of it was difficult to get through. He\'s a tough marker but fair, and he interacts with the material really well. Not a GPA booster, and I\'d avoid if you have an already heavy course-load.",neutral,English,51,3.7,interesting class but super tough and dense material there was a ton of reading and most of it was difficult to get through he s a tough marker but fair and he interacts with the material really well not a gpa booster and i d avoid if you have an already heavy course load,"[('a ton', 'QUANTITY'), ('He\\', 'ORG'), ('GPA', 'ORG')]",[],0,"['grading', 'professor', 'workload', 'lectures']","[('lectures', 'interesting'), ('lectures', 'tough')]",grading,4,54,4.055555555555555,0,0,0.028469750889679714,0,1,-0.01818181818181818,3,0,1,Math & STEM Courses
Martha  Browne,Pasadena City College,Mathematics department, CA,2.4,3.9,0,01/20/2014,4.5,5.0,,Tough Grader (6)  Skip class? You won\'t pass. (4)  LOTS OF HOMEWORK (2),0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"She\'s a nice person, gives her time to students who utilizes office hours. Hard coursework and a lot of homework, but doing it really helps with the exam. Pick if you can allot enough time for it",positive,Mathematics,37,3.7,she s a nice person gives her time to students who utilizes office hours hard coursework and a lot of homework but doing it really helps with the exam pick if you can allot enough time for it,[],[],0,"['professor', 'workload', 'exams']",[],professor,3,38,4.052631578947368,0,0,0.015306122448979591,0,1,-0.02564102564102564,2,0,1,Teaching Style & Clarity
Anne L.  Dearing,Hudson Valley Community College,English department, NY,2.9,3.9,1,03/08/2017,4.0,5.0,,Tough Grader (22)  Skip class? You won\'t pass. (17)  SO MANY PAPERS (13)  Get ready to read (8)  BEWARE OF POP QUIZZES (6)  LOTS OF HOMEWORK (6)  Clear grading criteria (2)  ACCESSIBLE OUTSIDE CLASS (2)  Gives good feedback (2)  Amazing lectures (1)  Participation matters (1)  TEST HEAVY (1)  Caring (1)  Respected (1)  Hilarious (1),1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,"She takes off a final letter grade for every 6 classes missed so don\'t skip too offen. Her quizzes are easy grade boosters and she teaches pretty straight to the book. If you\'re bad at English you might struggle a little bit, however she\'s a hardass, and though her expectations are clear, she grades tough. I would take her again if I had to.",positive,English,64,3.7,she takes off a final letter grade for every classes missed so don t skip too offen her quizzes are easy grade boosters and she teaches pretty straight to the book if you re bad at english you might struggle a little bit however she s a hardass and though her expectations are clear she grades tough i would take her again if i had to,"[('6', 'CARDINAL'), ('English', 'LANGUAGE'), ('she\\', 'PERSON')]",['she\\'],1,"['attendance', 'lectures', 'grading', 'exams', 'professor']","[('grading', 'final'), ('grading', 'tough')]",attendance,5,66,4.075757575757576,0,0,0.017341040462427744,1,1,0.0,0,0,4,Exam & Test Difficulty
Mary  Galvin,Butte College,History department, CA,1.9,4.0,0,09/19/2003,2.0,5.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Controlling woman who is in dire need of some fun.,negative,History,10,3.7,controlling woman who is in dire need of some fun,[],[],0,['general'],[],general,1,10,4.0,0,0,0.02,0,0,0.0,1,0,4,General Professor Praise
E  Lester,Volunteer State Community College,Mathematics department, TN,3.0,3.2,1,11/09/2015,3.5,2.0,A+,LOTS OF HOMEWORK (3)  ACCESSIBLE OUTSIDE CLASS (1)  Get ready to read (1)  Caring (1)  Participation matters (1),0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,"I hardly ever went to class and still made an A. She kind of makes you feel stupid when asking a question, but she will answer it. She really knows her stuff and is very good at explaining things. I like math, and I really did enjoy her class... the few times that I went.",neutral,Mathematics,55,4.3,i hardly ever went to class and still made an a she kind of makes you feel stupid when asking a question but she will answer it she really knows her stuff and is very good at explaining things i like math and i really did enjoy her class the few times that i went,[],[],0,"['professor', 'lectures']",[],professor,2,55,3.8,0,0,0.025735294117647058,1,0,0.017857142857142856,3,0,1,Math & STEM Courses
R  Hackney,Volunteer State Community College,Biology department, TN,3.7,4.1,0,11/15/2007,2.5,5.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,He is not one of my favorite teachers. If you like to stare at power points the whole class then you will be fine. He does give you the review but if you expect the test to be worded anything like the review then think again you better know the material inside and out. You will definately EARN your grade in this class!!,negative,Biology,63,3.7,he is not one of my favorite teachers if you like to stare at power points the whole class then you will be fine he does give you the review but if you expect the test to be worded anything like the review then think again you better know the material inside and out you will definately earn your grade in this class,[],[],0,"['grading', 'professor', 'exams', 'lectures']","[('professor', 'favorite'), ('lectures', 'whole')]",grading,4,63,4.031746031746032,2,0,0.024922118380062305,0,0,0.0,3,0,4,Math & STEM Courses
Ryan  Stark,Pennsylvania State University,English department, PA,4.8,2.0,0,02/02/2010,4.5,1.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ryan is the best professor I\'ve had so far. His class is very intellectually stimulating and very, very fun. We write essays with a focus on technique and style, not content. He made all of us better and more engaging writers. I wish I could take this class again...",positive,English,49,3.7,ryan is the best professor i ve had so far his class is very intellectually stimulating and very very fun we write essays with a focus on technique and style not content he made all of us better and more engaging writers i wish i could take this class again,"[('Ryan', 'PERSON')]",['Ryan'],1,"['professor', 'lectures']","[('professor', 'best')]",professor,2,50,4.16,0,0,0.026217228464419477,1,0,0.0196078431372549,1,0,1,General Professor Praise
Eleanor  Branch,Guilford College,English department, NC,3.4,3.9,0,04/27/2005,2.5,4.0,,Participation matters (2)  Tough Grader (2)  Gives good feedback (2)  Amazing lectures (1)  SO MANY PAPERS (1)  Skip class? You won\'t pass. (1)  Get ready to read (1)  Inspirational (1),1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,"Doesn\'t like upper/middle class white people, I never felt like she was taking me seriously. I agree with the previous poster, she can be catty. Everything had to do with race in her class, it got old, fast. There\'s other literature to read other than stuff on race!",negative,English,48,3.7,doesn t like upper middle class white people i never felt like she was taking me seriously i agree with the previous poster she can be catty everything had to do with race in her class it got old fast there s other literature to read other than stuff on race,"[('There\\', 'GPE')]",[],0,"['professor', 'lectures']","[('lectures', 'upper'), ('lectures', 'middle')]",professor,2,51,4.078431372549019,1,0,0.018656716417910446,0,0,0.0,3,0,1,Math & STEM Courses
Brian  Potter,Tulsa Community College,English department, OK,3.7,3.5,0,08/02/2017,1.0,5.0,C,Tough Grader (14)  Gives good feedback (11)  Participation matters (9)  LOTS OF HOMEWORK (8)  EXTRA CREDIT (6)  SO MANY PAPERS (6)  Get ready to read (6)  Hilarious (4)  Inspirational (4)  LECTURE HEAVY (4)  ACCESSIBLE OUTSIDE CLASS (3)  Amazing lectures (3)  Caring (2)  BEWARE OF POP QUIZZES (2)  GRADED BY FEW THINGS (1)  Respected (1)  Clear grading criteria (1)  GROUP PROJECTS (1)  Skip class? You won\'t pass. (1),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,"If I had known how difficult Potter was beforehand, I wouldn\'t have taken his class. He took forever to reply to emails, and when he did, he was rude and short with me. He took forever to grade papers, so you basically don\'t know where you stand in the class all semester. He graded very harshly on papers, and makes you feel stupid.",negative,English,63,2.0,if i had known how difficult potter was beforehand i wouldn t have taken his class he took forever to reply to emails and when he did he was rude and short with me he took forever to grade papers so you basically don t know where you stand in the class all semester he graded very harshly on papers and makes you feel stupid,"[('Potter', 'PERSON')]",['Potter'],1,"['grading', 'professor', 'workload', 'lectures']",[],grading,4,65,4.0,0,0,0.020895522388059702,0,1,-0.015151515151515152,3,0,4,Math & STEM Courses
Aaron  Fogel,Boston University,English department, MA,4.0,3.0,0,06/30/2005,2.5,4.0,,Get ready to read (1)  LECTURE HEAVY (1),0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"Loved him in HU 221, but his modern lit class was the worst nightmare of my senior year. He was unclear in giving paper topics then would complain later and make you rewrite the paper...argh, it was so frustrating!!!",negative,English,39,3.7,loved him in hu but his modern lit class was the worst nightmare of my senior year he was unclear in giving paper topics then would complain later and make you rewrite the paper argh it was so frustrating,"[('HU 221', 'ORG'), ('my senior year', 'DATE')]",[],0,"['professor', 'workload', 'lectures']","[('lectures', 'modern')]",professor,3,39,4.256410256410256,3,0,0.018518518518518517,0,1,-0.025,3,0,1,Math & STEM Courses
Joe  Murdico,Moorpark College,Psychology department, CA,4.8,1.7,0,12/17/2013,5.0,3.0,,Amazing lectures (1)  Hilarious (1),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Took this class in Spring of 2013. Usually, I hate night classes and anything with a three hour lecture, but he was good about making the class interesting and ended class if he finished early. Almost everything is gone over in lecture, with just a few book readings to reinforce the topic. There is one paper, but it\'s no big deal.",positive,Psychology,61,3.7,took this class in spring of usually i hate night classes and anything with a three hour lecture but he was good about making the class interesting and ended class if he finished early almost everything is gone over in lecture with just a few book readings to reinforce the topic there is one paper but it s no big deal,"[('Spring of 2013', 'DATE'), ('three hour', 'TIME'), ('one', 'CARDINAL'), ('it\\', 'ORG')]",[],0,"['professor', 'workload', 'lectures']","[('lectures', 'interesting'), ('lectures', 'interesting'), ('lectures', 'ended'), ('workload', 'few')]",professor,3,61,4.245901639344262,0,0,0.018018018018018018,1,0,0.016129032258064516,3,0,1,Math & STEM Courses
Patricia  Mancini,Bridgewater State University,Biology department, MA,3.8,3.0,0,12/21/2006,5.0,4.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Really good professor-- science isn\'t my best subject, but I did pretty well in this class. She understands that many of her students aren\'t bio majors, and teaches the material in a way that\'s easy to understand. There are 4 tests and a final exam-- mostly multiple choice with 1 or 2 essays questions. I definitely recommend her.",positive,Biology,58,3.7,really good professor science isn t my best subject but i did pretty well in this class she understands that many of her students aren t bio majors and teaches the material in a way that s easy to understand there are tests and a final exam mostly multiple choice with or essays questions i definitely recommend her,"[('4', 'CARDINAL'), ('exam--', 'GPE'), ('1', 'CARDINAL'), ('2', 'CARDINAL')]",[],0,"['professor', 'exams', 'lectures']","[('exams', 'final')]",professor,3,58,4.448275862068965,0,0,0.014970059880239521,2,0,0.03389830508474576,1,0,1,General Professor Praise
Timothy L  Brown,Valencia College - East and West Campus,Mathematics department, FL,2.0,4.0,0,11/20/2004,1.0,5.0,A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Could not write any faster. Very unhelpful, poor attitude towards teaching probably wanted to be something else than a teacher. Childish in his actions and word. REALLY BAD TEACHER",negative,Mathematics,29,4.0,could not write any faster very unhelpful poor attitude towards teaching probably wanted to be something else than a teacher childish in his actions and word really bad teacher,"[('REALLY BAD', 'ORG')]",[],0,"['professor', 'lectures']","[('professor', 'childish'), ('professor', 'bad')]",professor,2,29,5.103448275862069,0,0,0.10555555555555556,0,2,-0.06666666666666667,4,0,1,Workload & Assignments
Karen  Kaplowitz,John Jay College of Criminal Justice,English department, NY,4.1,2.9,0,11/17/2009,5.0,2.0,,Get ready to read (4)  LOTS OF HOMEWORK (1)  Skip class? You won\'t pass. (1)  Tough Grader (1)  TEST HEAVY (1)  BEWARE OF POP QUIZZES (1)  Inspirational (1)  Caring (1),0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,"Prof. Kaplowitz is one of the greatest LIT professors I\'ve ever had the pleasure of taking. She is extremely clear, she explains everything and she answers all of your questions. There are quizzes every week but they shouldn\'t be a problem if you read the book.",positive,English,46,3.7,prof kaplowitz is one of the greatest lit professors i ve ever had the pleasure of taking she is extremely clear she explains everything and she answers all of your questions there are quizzes every week but they shouldn t be a problem if you read the book,"[('Kaplowitz', 'PERSON'), ('LIT', 'ORG'), ('every week', 'DATE')]",['Kaplowitz'],1,"['professor', 'exams', 'lectures']","[('professor', 'greatest')]",professor,3,48,4.354166666666667,0,0,0.030418250950570342,1,0,0.02040816326530612,0,0,1,Exam & Test Difficulty
Kevin  Rahimzadeh,Eastern Kentucky University,English department, KY,4.5,3.2,0,05/31/2015,5.0,3.0,A+,Respected (9)  Amazing lectures (8)  Inspirational (6)  Hilarious (6)  Get ready to read (5)  Gives good feedback (4)  Skip class? You won\'t pass. (4)  Caring (3)  BEWARE OF POP QUIZZES (2)  GROUP PROJECTS (1)  GRADED BY FEW THINGS (1)  ACCESSIBLE OUTSIDE CLASS (1)  LECTURE HEAVY (1),1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,0,"Dr. Rahimzadeh is such a great professor! Lectures are always interesting (but DO NOT MISS THEM, because they\'re on the test), and he is hilarious. I didn\'t think anyone could make early lit fun, but he does. Two 1 PG papers and one 4-5 PG paper, and he\'s a little picky (but helpful!). If you take good notes and read the stories, you\'ll do fine. :)",positive,English,66,4.3,dr rahimzadeh is such a great professor lectures are always interesting but do not miss them because they re on the test and he is hilarious i didn t think anyone could make early lit fun but he does two pg papers and one pg paper and he s a little picky but helpful if you take good notes and read the stories you ll do fine,"[('Rahimzadeh', 'PERSON'), (""didn\\'t"", 'ORG'), ('Two', 'CARDINAL'), (""you\\'ll"", 'PERSON')]","['Rahimzadeh', ""you\\'ll""]",1,"['professor', 'exams', 'workload', 'lectures']","[('lectures', 'great')]",professor,4,67,3.8656716417910446,2,0,0.06497175141242938,3,0,0.04411764705882353,1,0,4,General Professor Praise
Richard  Bodek,College of Charleston,History department, SC,4.0,3.2,0,05/01/2008,5.0,3.0,,Amazing lectures (3)  Caring (3)  Get ready to read (2)  LECTURE HEAVY (2)  Hilarious (1)  Gives good feedback (1)  TEST HEAVY (1)  Respected (1)  SO MANY PAPERS (1)  Inspirational (1)  GRADED BY FEW THINGS (1),1,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,"This was an Honors Special Topics Course, and it was amazing. It was discussion based and team taught. Dr. Bodek is one of the best teachers at the college. Very nice and very helpful. Really makes you think outside the box, and has really interesting ideas. Very animated and enthusiastic. Highly recommended for any honors class.",positive,History,56,3.7,this was an honors special topics course and it was amazing it was discussion based and team taught dr bodek is one of the best teachers at the college very nice and very helpful really makes you think outside the box and has really interesting ideas very animated and enthusiastic highly recommended for any honors class,"[('Bodek', 'PERSON')]",['Bodek'],1,"['professor', 'lectures']","[('professor', 'best'), ('professor', 'nice')]",professor,2,56,4.75,0,0,0.03625377643504532,3,0,0.05263157894736842,1,0,1,General Professor Praise
John  Nelson,University of South Carolina,Biology department, SC,3.9,3.8,0,11/12/2007,4.0,4.0,,Skip class? You won\'t pass. (2)  GRADED BY FEW THINGS (1)  Tough Grader (1),0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"This class does take a lot of time and work but I believe it was all worth it in the end. Dr. Nelson is a very smart man and normally pretty nice, he does have his days though. The semester project takes a lot of time and you should start it as early as possible.",positive,Biology,55,3.7,this class does take a lot of time and work but i believe it was all worth it in the end dr nelson is a very smart man and normally pretty nice he does have his days though the semester project takes a lot of time and you should start it as early as possible,"[('Nelson', 'PERSON'), ('his days', 'DATE')]",['Nelson'],1,"['professor', 'workload', 'lectures']",[],professor,3,55,3.709090909090909,0,0,0.019011406844106463,0,0,0.0,3,0,1,Math & STEM Courses
Hilary  Seagle,Southwestern Community College,Mathematics department, NC,3.3,3.7,0,08/09/2006,5.0,3.0,,Skip class? You won\'t pass. (1)  Tough Grader (1)  Participation matters (1),0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Hilary is a great instructor with the ability to keep her students awake irrespective of the arguably dry nature of statistics. She provides real-world examples that form a connection and enhance learning and recall. She gets to the meat of the matter, without superfluous garbage that you will likely never see again. DO NOT BE AFRAID OF STATS!!!",positive,Mathematics,58,3.7,hilary is a great instructor with the ability to keep her students awake irrespective of the arguably dry nature of statistics she provides real world examples that form a connection and enhance learning and recall she gets to the meat of the matter without superfluous garbage that you will likely never see again do not be afraid of stats,[],[],0,['professor'],"[('professor', 'great')]",professor,1,59,4.779661016949152,3,0,0.06628242074927954,1,0,0.016666666666666666,1,0,1,General Professor Praise
